date,time,datetime,day,time_of_day,hour,payment_method,card_no.,amount,coffee_name
2024-03-06,13:24:07.667000,2024-03-06 13:24:07.667,Wednesday,Afternoon,13,card,ANON-0000-0000-0012,28.9,Americano
2024-03-06,13:25:14.351000,2024-03-06 13:25:14.351,Wednesday,Afternoon,13,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-06,14:52:01.761000,2024-03-06 14:52:01.761,Wednesday,Afternoon,14,card,ANON-0000-0000-0029,38.7,Cappuccino
2024-03-06,14:53:18.344000,2024-03-06 14:53:18.344,Wednesday,Afternoon,14,card,ANON-0000-0000-0029,38.7,Cappuccino
2024-03-07,10:08:58.945000,2024-03-07 10:08:58.945,Thursday,Morning,10,cash,Cash,40.0,Latte
2024-03-07,10:18:40.543000,2024-03-07 10:18:40.543,Thursday,Morning,10,card,ANON-0000-0000-0030,38.7,Hot Chocolate
2024-03-07,11:03:58.976000,2024-03-07 11:03:58.976,Thursday,Morning,11,card,ANON-0000-0000-0031,38.7,Latte
2024-03-07,11:25:43.977000,2024-03-07 11:25:43.977,Thursday,Morning,11,cash,Cash,40.0,Latte
2024-03-07,15:40:22.606000,2024-03-07 15:40:22.606,Thursday,Afternoon,15,card,ANON-0000-0000-0032,28.9,Americano
2024-03-07,15:41:28.784000,2024-03-07 15:41:28.784,Thursday,Afternoon,15,card,ANON-0000-0000-0033,33.8,Americano with Milk
2024-03-08,10:34:41.283000,2024-03-08 10:34:41.283,Friday,Morning,10,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-08,12:22:28.653000,2024-03-08 12:22:28.653,Friday,Afternoon,12,card,ANON-0000-0000-0034,38.7,Cappuccino
2024-03-08,13:53:02.042000,2024-03-08 13:53:02.042,Friday,Afternoon,13,card,ANON-0000-0000-0035,28.9,Americano
2024-03-08,14:44:12.686000,2024-03-08 14:44:12.686,Friday,Afternoon,14,card,ANON-0000-0000-0012,28.9,Americano
2024-03-08,14:45:11.048000,2024-03-08 14:45:11.048,Friday,Afternoon,14,card,ANON-0000-0000-0033,28.9,Americano
2024-03-08,14:46:11.155000,2024-03-08 14:46:11.155,Friday,Afternoon,14,card,ANON-0000-0000-0012,33.8,Americano with Milk
2024-03-08,18:57:51.451000,2024-03-08 18:57:51.451,Friday,Evening,18,card,ANON-0000-0000-0036,38.7,Latte
2024-03-08,18:59:24.941000,2024-03-08 18:59:24.941,Friday,Evening,18,card,ANON-0000-0000-0037,38.7,Latte
2024-03-09,11:49:37.292000,2024-03-09 11:49:37.292,Saturday,Morning,11,cash,Cash,40.0,Hot Chocolate
2024-03-09,12:05:15.559000,2024-03-09 12:05:15.559,Saturday,Afternoon,12,card,ANON-0000-0000-0038,24.0,Espresso
2024-03-09,12:07:38.275000,2024-03-09 12:07:38.275,Saturday,Afternoon,12,card,ANON-0000-0000-0039,28.9,Americano
2024-03-09,12:09:47.714000,2024-03-09 12:09:47.714,Saturday,Afternoon,12,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-03-09,12:13:03.521000,2024-03-09 12:13:03.521,Saturday,Afternoon,12,card,ANON-0000-0000-0040,28.9,Americano
2024-03-09,12:14:26.458000,2024-03-09 12:14:26.458,Saturday,Afternoon,12,card,ANON-0000-0000-0040,28.9,Americano
2024-03-09,13:09:22.229000,2024-03-09 13:09:22.229,Saturday,Afternoon,13,card,ANON-0000-0000-0041,38.7,Latte
2024-03-09,13:41:06.167000,2024-03-09 13:41:06.167,Saturday,Afternoon,13,card,ANON-0000-0000-0042,33.8,Americano with Milk
2024-03-09,13:53:10.408000,2024-03-09 13:53:10.408,Saturday,Afternoon,13,card,ANON-0000-0000-0043,28.9,Cortado
2024-03-09,13:54:36.828000,2024-03-09 13:54:36.828,Saturday,Afternoon,13,card,ANON-0000-0000-0043,38.7,Cappuccino
2024-03-09,14:08:01.829000,2024-03-09 14:08:01.829,Saturday,Afternoon,14,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-03-09,14:26:52.873000,2024-03-09 14:26:52.873,Saturday,Afternoon,14,card,ANON-0000-0000-0044,38.7,Hot Chocolate
2024-03-09,19:17:57.572000,2024-03-09 19:17:57.572,Saturday,Evening,19,card,ANON-0000-0000-0009,38.7,Cappuccino
2024-03-09,19:19:10.084000,2024-03-09 19:19:10.084,Saturday,Evening,19,card,ANON-0000-0000-0009,38.7,Hot Chocolate
2024-03-10,07:44:18.538000,2024-03-10 07:44:18.538,Sunday,Morning,7,cash,Cash,30.0,Americano
2024-03-10,07:45:29.441000,2024-03-10 07:45:29.441,Sunday,Morning,7,cash,Cash,35.0,Americano with Milk
2024-03-10,10:06:02.960000,2024-03-10 10:06:02.960,Sunday,Morning,10,cash,Cash,40.0,Latte
2024-03-10,11:19:20.764000,2024-03-10 11:19:20.764,Sunday,Morning,11,card,ANON-0000-0000-0045,24.0,Espresso
2024-03-10,17:51:03.048000,2024-03-10 17:51:03.048,Sunday,Evening,17,cash,Cash,35.0,Americano with Milk
2024-03-10,19:34:00.478000,2024-03-10 19:34:00.478,Sunday,Evening,19,card,ANON-0000-0000-0046,38.7,Latte
2024-03-10,19:35:54.712000,2024-03-10 19:35:54.712,Sunday,Evening,19,card,ANON-0000-0000-0046,28.9,Cortado
2024-03-11,10:18:46.724000,2024-03-11 10:18:46.724,Monday,Morning,10,cash,Cash,40.0,Latte
2024-03-11,11:24:15.022000,2024-03-11 11:24:15.022,Monday,Morning,11,cash,Cash,40.0,Cappuccino
2024-03-11,11:24:51.565000,2024-03-11 11:24:51.565,Monday,Morning,11,cash,Cash,30.0,Cortado
2024-03-11,11:26:44.221000,2024-03-11 11:26:44.221,Monday,Morning,11,cash,Cash,30.0,Americano
2024-03-11,11:32:58.781000,2024-03-11 11:32:58.781,Monday,Morning,11,card,ANON-0000-0000-0035,38.7,Cappuccino
2024-03-11,16:24:26.401000,2024-03-11 16:24:26.401,Monday,Afternoon,16,card,ANON-0000-0000-0047,28.9,Americano
2024-03-11,16:25:45.664000,2024-03-11 16:25:45.664,Monday,Afternoon,16,card,ANON-0000-0000-0047,38.7,Latte
2024-03-11,16:50:49.608000,2024-03-11 16:50:49.608,Monday,Afternoon,16,card,ANON-0000-0000-0048,28.9,Cortado
2024-03-12,10:15:00.297000,2024-03-12 10:15:00.297,Tuesday,Morning,10,cash,Cash,40.0,Latte
2024-03-12,10:15:34.543000,2024-03-12 10:15:34.543,Tuesday,Morning,10,card,ANON-0000-0000-0033,28.9,Americano
2024-03-12,10:16:24.886000,2024-03-12 10:16:24.886,Tuesday,Morning,10,card,ANON-0000-0000-0033,28.9,Cortado
2024-03-12,11:20:45.632000,2024-03-12 11:20:45.632,Tuesday,Morning,11,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024-03-12,12:46:23.275000,2024-03-12 12:46:23.275,Tuesday,Afternoon,12,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024-03-12,12:47:26.027000,2024-03-12 12:47:26.027,Tuesday,Afternoon,12,card,ANON-0000-0000-0004,28.9,Americano
2024-03-12,16:15:43.325000,2024-03-12 16:15:43.325,Tuesday,Afternoon,16,card,ANON-0000-0000-0050,28.9,Americano
2024-03-13,11:06:43.038000,2024-03-13 11:06:43.038,Wednesday,Morning,11,card,ANON-0000-0000-0048,38.7,Hot Chocolate
2024-03-13,11:48:16.753000,2024-03-13 11:48:16.753,Wednesday,Morning,11,card,ANON-0000-0000-0004,28.9,Americano
2024-03-13,12:18:06.336000,2024-03-13 12:18:06.336,Wednesday,Afternoon,12,card,ANON-0000-0000-0051,28.9,Americano
2024-03-13,12:19:05.128000,2024-03-13 12:19:05.128,Wednesday,Afternoon,12,card,ANON-0000-0000-0051,28.9,Americano
2024-03-13,12:34:30.315000,2024-03-13 12:34:30.315,Wednesday,Afternoon,12,cash,Cash,25.0,Espresso
2024-03-13,14:26:40.875000,2024-03-13 14:26:40.875,Wednesday,Afternoon,14,card,ANON-0000-0000-0052,33.8,Americano with Milk
2024-03-13,15:40:22.261000,2024-03-13 15:40:22.261,Wednesday,Afternoon,15,card,ANON-0000-0000-0053,24.0,Espresso
2024-03-13,15:41:20.424000,2024-03-13 15:41:20.424,Wednesday,Afternoon,15,card,ANON-0000-0000-0053,24.0,Espresso
2024-03-13,16:47:09.373000,2024-03-13 16:47:09.373,Wednesday,Afternoon,16,card,ANON-0000-0000-0054,24.0,Espresso
2024-03-14,10:02:12.241000,2024-03-14 10:02:12.241,Thursday,Morning,10,cash,Cash,40.0,Latte
2024-03-14,10:28:33.017000,2024-03-14 10:28:33.017,Thursday,Morning,10,card,ANON-0000-0000-0055,38.7,Latte
2024-03-14,10:29:34.283000,2024-03-14 10:29:34.283,Thursday,Morning,10,card,ANON-0000-0000-0055,38.7,Hot Chocolate
2024-03-14,13:27:29.536000,2024-03-14 13:27:29.536,Thursday,Afternoon,13,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-14,13:28:24.527000,2024-03-14 13:28:24.527,Thursday,Afternoon,13,card,ANON-0000-0000-0012,28.9,Americano
2024-03-14,13:51:59.905000,2024-03-14 13:51:59.905,Thursday,Afternoon,13,card,ANON-0000-0000-0056,33.8,Americano with Milk
2024-03-14,13:52:56.248000,2024-03-14 13:52:56.248,Thursday,Afternoon,13,card,ANON-0000-0000-0057,24.0,Espresso
2024-03-14,15:20:38.367000,2024-03-14 15:20:38.367,Thursday,Afternoon,15,card,ANON-0000-0000-0058,38.7,Latte
2024-03-14,16:04:09.506000,2024-03-14 16:04:09.506,Thursday,Afternoon,16,card,ANON-0000-0000-0059,33.8,Americano with Milk
2024-03-14,16:54:38.202000,2024-03-14 16:54:38.202,Thursday,Afternoon,16,card,ANON-0000-0000-0050,24.0,Espresso
2024-03-14,18:58:55.854000,2024-03-14 18:58:55.854,Thursday,Evening,18,card,ANON-0000-0000-0019,38.7,Hot Chocolate
2024-03-14,19:00:08.663000,2024-03-14 19:00:08.663,Thursday,Evening,19,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-15,10:02:16.533000,2024-03-15 10:02:16.533,Friday,Morning,10,cash,Cash,40.0,Latte
2024-03-15,10:53:02.180000,2024-03-15 10:53:02.180,Friday,Morning,10,card,ANON-0000-0000-0060,38.7,Hot Chocolate
2024-03-15,18:19:27.922000,2024-03-15 18:19:27.922,Friday,Evening,18,card,ANON-0000-0000-0012,28.9,Americano
2024-03-16,12:06:55.209000,2024-03-16 12:06:55.209,Saturday,Afternoon,12,card,ANON-0000-0000-0061,33.8,Americano with Milk
2024-03-16,12:07:53.915000,2024-03-16 12:07:53.915,Saturday,Afternoon,12,card,ANON-0000-0000-0061,28.9,Americano
2024-03-16,15:58:18.458000,2024-03-16 15:58:18.458,Saturday,Afternoon,15,card,ANON-0000-0000-0009,28.9,Cortado
2024-03-16,16:03:21.738000,2024-03-16 16:03:21.738,Saturday,Afternoon,16,card,ANON-0000-0000-0009,28.9,Cortado
2024-03-16,16:04:11.444000,2024-03-16 16:04:11.444,Saturday,Afternoon,16,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-16,17:58:07.241000,2024-03-16 17:58:07.241,Saturday,Evening,17,card,ANON-0000-0000-0062,33.8,Americano with Milk
2024-03-17,10:10:21.399000,2024-03-17 10:10:21.399,Sunday,Morning,10,cash,Cash,40.0,Latte
2024-03-17,12:55:26.065000,2024-03-17 12:55:26.065,Sunday,Afternoon,12,card,ANON-0000-0000-0063,28.9,Cortado
2024-03-18,11:17:59.671000,2024-03-18 11:17:59.671,Monday,Morning,11,card,ANON-0000-0000-0064,28.9,Cortado
2024-03-18,15:31:39.725000,2024-03-18 15:31:39.725,Monday,Afternoon,15,card,ANON-0000-0000-0003,28.9,Americano
2024-03-18,15:32:38.239000,2024-03-18 15:32:38.239,Monday,Afternoon,15,card,ANON-0000-0000-0003,28.9,Americano
2024-03-18,15:33:36.708000,2024-03-18 15:33:36.708,Monday,Afternoon,15,card,ANON-0000-0000-0003,28.9,Americano
2024-03-19,10:20:25.996000,2024-03-19 10:20:25.996,Tuesday,Morning,10,cash,Cash,30.0,Cortado
2024-03-19,14:02:21.536000,2024-03-19 14:02:21.536,Tuesday,Afternoon,14,card,ANON-0000-0000-0065,38.7,Latte
2024-03-19,14:03:19.765000,2024-03-19 14:03:19.765,Tuesday,Afternoon,14,card,ANON-0000-0000-0065,38.7,Latte
2024-03-19,15:04:36.309000,2024-03-19 15:04:36.309,Tuesday,Afternoon,15,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024-03-19,16:53:48.706000,2024-03-19 16:53:48.706,Tuesday,Afternoon,16,card,ANON-0000-0000-0066,33.8,Americano with Milk
2024-03-19,19:26:32.677000,2024-03-19 19:26:32.677,Tuesday,Evening,19,cash,Cash,40.0,Hot Chocolate
2024-03-20,11:41:16.403000,2024-03-20 11:41:16.403,Wednesday,Morning,11,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-20,12:21:07.728000,2024-03-20 12:21:07.728,Wednesday,Afternoon,12,cash,Cash,40.0,Latte
2024-03-20,12:30:48.968000,2024-03-20 12:30:48.968,Wednesday,Afternoon,12,card,ANON-0000-0000-0049,28.9,Cortado
2024-03-20,13:16:47.394000,2024-03-20 13:16:47.394,Wednesday,Afternoon,13,card,ANON-0000-0000-0067,38.7,Cappuccino
2024-03-20,16:42:38.117000,2024-03-20 16:42:38.117,Wednesday,Afternoon,16,card,ANON-0000-0000-0050,38.7,Cocoa
2024-03-20,17:50:28.781000,2024-03-20 17:50:28.781,Wednesday,Evening,17,card,ANON-0000-0000-0068,38.7,Latte
2024-03-21,10:18:56.977000,2024-03-21 10:18:56.977,Thursday,Morning,10,cash,Cash,40.0,Cappuccino
2024-03-21,12:25:09.194000,2024-03-21 12:25:09.194,Thursday,Afternoon,12,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-21,12:26:17.428000,2024-03-21 12:26:17.428,Thursday,Afternoon,12,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-03-21,17:21:01.453000,2024-03-21 17:21:01.453,Thursday,Evening,17,cash,Cash,30.0,Americano
2024-03-21,17:22:01.353000,2024-03-21 17:22:01.353,Thursday,Evening,17,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-21,19:20:36.508000,2024-03-21 19:20:36.508,Thursday,Evening,19,card,ANON-0000-0000-0069,38.7,Latte
2024-03-22,10:35:53.619000,2024-03-22 10:35:53.619,Friday,Morning,10,card,ANON-0000-0000-0070,33.8,Americano with Milk
2024-03-22,13:29:20.343000,2024-03-22 13:29:20.343,Friday,Afternoon,13,card,ANON-0000-0000-0071,33.8,Americano with Milk
2024-03-22,16:15:14.448000,2024-03-22 16:15:14.448,Friday,Afternoon,16,cash,Cash,40.0,Cappuccino
2024-03-22,17:17:03.724000,2024-03-22 17:17:03.724,Friday,Evening,17,card,ANON-0000-0000-0012,28.9,Americano
2024-03-22,17:17:58.991000,2024-03-22 17:17:58.991,Friday,Evening,17,card,ANON-0000-0000-0012,24.0,Espresso
2024-03-22,17:20:49.490000,2024-03-22 17:20:49.490,Friday,Evening,17,card,ANON-0000-0000-0050,28.9,Americano
2024-03-23,10:43:59.559000,2024-03-23 10:43:59.559,Saturday,Morning,10,card,ANON-0000-0000-0072,38.7,Latte
2024-03-23,10:45:07.157000,2024-03-23 10:45:07.157,Saturday,Morning,10,card,ANON-0000-0000-0073,33.8,Americano with Milk
2024-03-23,13:10:07.661000,2024-03-23 13:10:07.661,Saturday,Afternoon,13,card,ANON-0000-0000-0074,38.7,Cappuccino
2024-03-23,13:11:12.230000,2024-03-23 13:11:12.230,Saturday,Afternoon,13,card,ANON-0000-0000-0074,38.7,Cocoa
2024-03-23,14:44:41.276000,2024-03-23 14:44:41.276,Saturday,Afternoon,14,card,ANON-0000-0000-0075,33.8,Americano with Milk
2024-03-23,15:47:19.062000,2024-03-23 15:47:19.062,Saturday,Afternoon,15,card,ANON-0000-0000-0076,38.7,Latte
2024-03-23,15:49:33.813000,2024-03-23 15:49:33.813,Saturday,Afternoon,15,card,ANON-0000-0000-0076,33.8,Americano with Milk
2024-03-23,16:00:58.386000,2024-03-23 16:00:58.386,Saturday,Afternoon,16,card,ANON-0000-0000-0009,28.9,Cortado
2024-03-24,10:03:56.005000,2024-03-24 10:03:56.005,Sunday,Morning,10,cash,Cash,40.0,Latte
2024-03-24,18:45:08.397000,2024-03-24 18:45:08.397,Sunday,Evening,18,card,ANON-0000-0000-0077,38.7,Latte
2024-03-25,10:31:47.250000,2024-03-25 10:31:47.250,Monday,Morning,10,card,ANON-0000-0000-0009,38.7,Latte
2024-03-25,11:16:25.671000,2024-03-25 11:16:25.671,Monday,Morning,11,cash,Cash,35.0,Americano with Milk
2024-03-25,14:27:09.163000,2024-03-25 14:27:09.163,Monday,Afternoon,14,card,ANON-0000-0000-0078,38.7,Latte
2024-03-25,14:29:25.343000,2024-03-25 14:29:25.343,Monday,Afternoon,14,card,ANON-0000-0000-0017,38.7,Latte
2024-03-25,18:37:30.650000,2024-03-25 18:37:30.650,Monday,Evening,18,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-03-25,19:34:24.542000,2024-03-25 19:34:24.542,Monday,Evening,19,card,ANON-0000-0000-0079,38.7,Cappuccino
2024-03-26,10:35:49.679000,2024-03-26 10:35:49.679,Tuesday,Morning,10,card,ANON-0000-0000-0055,38.7,Cocoa
2024-03-26,10:36:36.151000,2024-03-26 10:36:36.151,Tuesday,Morning,10,card,ANON-0000-0000-0055,38.7,Latte
2024-03-26,10:42:30.170000,2024-03-26 10:42:30.170,Tuesday,Morning,10,card,ANON-0000-0000-0080,38.7,Latte
2024-03-26,11:11:47.335000,2024-03-26 11:11:47.335,Tuesday,Morning,11,card,ANON-0000-0000-0009,28.9,Cortado
2024-03-26,13:35:52.773000,2024-03-26 13:35:52.773,Tuesday,Afternoon,13,card,ANON-0000-0000-0003,28.9,Americano
2024-03-26,13:36:49.644000,2024-03-26 13:36:49.644,Tuesday,Afternoon,13,card,ANON-0000-0000-0032,28.9,Cortado
2024-03-26,13:37:59.723000,2024-03-26 13:37:59.723,Tuesday,Afternoon,13,card,ANON-0000-0000-0059,28.9,Cortado
2024-03-26,13:57:53.677000,2024-03-26 13:57:53.677,Tuesday,Afternoon,13,card,ANON-0000-0000-0050,28.9,Americano
2024-03-26,15:48:02.270000,2024-03-26 15:48:02.270,Tuesday,Afternoon,15,card,ANON-0000-0000-0081,38.7,Latte
2024-03-26,18:33:38.568000,2024-03-26 18:33:38.568,Tuesday,Evening,18,card,ANON-0000-0000-0024,38.7,Latte
2024-03-26,18:34:54.648000,2024-03-26 18:34:54.648,Tuesday,Evening,18,card,ANON-0000-0000-0009,38.7,Hot Chocolate
2024-03-27,11:04:51.174000,2024-03-27 11:04:51.174,Wednesday,Morning,11,card,ANON-0000-0000-0003,28.9,Cortado
2024-03-27,11:05:58.236000,2024-03-27 11:05:58.236,Wednesday,Morning,11,card,ANON-0000-0000-0003,33.8,Americano with Milk
2024-03-27,12:57:00.462000,2024-03-27 12:57:00.462,Wednesday,Afternoon,12,card,ANON-0000-0000-0082,33.8,Americano with Milk
2024-03-27,13:35:20.039000,2024-03-27 13:35:20.039,Wednesday,Afternoon,13,card,ANON-0000-0000-0083,38.7,Hot Chocolate
2024-03-27,14:22:31.662000,2024-03-27 14:22:31.662,Wednesday,Afternoon,14,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-03-27,14:23:35.380000,2024-03-27 14:23:35.380,Wednesday,Afternoon,14,card,ANON-0000-0000-0012,28.9,Americano
2024-03-27,18:30:11.833000,2024-03-27 18:30:11.833,Wednesday,Evening,18,card,ANON-0000-0000-0084,28.9,Cortado
2024-03-27,19:31:12.442000,2024-03-27 19:31:12.442,Wednesday,Evening,19,cash,Cash,40.0,Latte
2024-03-28,14:24:47.092000,2024-03-28 14:24:47.092,Thursday,Afternoon,14,card,ANON-0000-0000-0085,28.9,Cortado
2024-03-28,17:24:46.244000,2024-03-28 17:24:46.244,Thursday,Evening,17,card,ANON-0000-0000-0012,28.9,Cortado
2024-03-28,17:27:05.304000,2024-03-28 17:27:05.304,Thursday,Evening,17,card,ANON-0000-0000-0012,28.9,Americano
2024-03-28,17:32:44.652000,2024-03-28 17:32:44.652,Thursday,Evening,17,card,ANON-0000-0000-0086,38.7,Latte
2024-03-29,10:56:19.495000,2024-03-29 10:56:19.495,Friday,Morning,10,card,ANON-0000-0000-0087,38.7,Latte
2024-03-29,12:34:17.383000,2024-03-29 12:34:17.383,Friday,Afternoon,12,card,ANON-0000-0000-0088,38.7,Cappuccino
2024-03-29,12:41:32.125000,2024-03-29 12:41:32.125,Friday,Afternoon,12,card,ANON-0000-0000-0088,38.7,Cappuccino
2024-03-29,13:22:44.618000,2024-03-29 13:22:44.618,Friday,Afternoon,13,cash,Cash,40.0,Cappuccino
2024-03-30,11:59:19.854000,2024-03-30 11:59:19.854,Saturday,Morning,11,card,ANON-0000-0000-0069,38.7,Latte
2024-03-30,13:49:25.815000,2024-03-30 13:49:25.815,Saturday,Afternoon,13,cash,Cash,40.0,Cappuccino
2024-03-30,16:12:31.786000,2024-03-30 16:12:31.786,Saturday,Afternoon,16,card,ANON-0000-0000-0017,38.7,Latte
2024-03-30,16:36:40.513000,2024-03-30 16:36:40.513,Saturday,Afternoon,16,card,ANON-0000-0000-0009,38.7,Latte
2024-03-30,16:37:57.553000,2024-03-30 16:37:57.553,Saturday,Afternoon,16,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-03-31,10:40:04.523000,2024-03-31 10:40:04.523,Sunday,Morning,10,card,ANON-0000-0000-0089,38.7,Cappuccino
2024-03-31,19:36:45,2024-03-31 19:36:45.000,Sunday,Evening,19,cash,Cash,30.0,Americano
2024-04-01,10:28:47.601000,2024-04-01 10:28:47.601,Monday,Morning,10,card,ANON-0000-0000-0004,28.9,Americano
2024-04-01,10:29:42.318000,2024-04-01 10:29:42.318,Monday,Morning,10,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024-04-01,10:30:43.735000,2024-04-01 10:30:43.735,Monday,Morning,10,card,ANON-0000-0000-0004,33.8,Americano with Milk
